no,merek dagang,tujuan,kategori
1736,SPONTANKING 400 SL ,"wereng coklat Nilaparvata lugens, penggerek batang Scirpophaga incertulas, pelipat daun Cnaphalocrosis medinalis, wereng punggung putih  Sogatella furcifera (sundep & beluk). ",umum 
1737,NUPRID 70 WG ,"wereng coklat Nilaparvata lugens, wereng hijau Nephotettix virescens ",umum 
1738,KENDIZOL 250 EC ,"penyakit barcak daun Cercospora oryzae, penyakit busuk pelepah Rhizoctonia solani ",umum 
1739,RIOSOL 250 EC ,penyakit bercak daun Cercospora sp. ,umum 
1740,POLYCOM 70 WG ,penyakit bercak daun Cercospora janseana ,umum 
1741,SAGRI-ZONE 450 SC ,penyakit bercak daun coklat Helminthosporium oryzae ,umum 
1742,"INDOKOR 250 EC, POLYCOM 70 WG ",penyakit busuk pelepah Rhizoctonia solani ,umum 
1743,"SAGRI-BAT 70 WP, TOSCANA 250 SC ",penyakit hawar pelepah Rhizoctonia solani ,umum 
1744,MOLUSKIL 10 GR ,siput morbei Pomacea cannaliculata ,umum 
1745,ABINSEC 18 EC ,siput murbeiPomacea canaliculata ,umum 
1746,"BENZO 60 WP, BESLOSAN 250 EC, DOUBLE FISH 15 GR, INTAN 60 WP, KEN-SIPUT 260 EC, NICLOSTOP PLUS 70 WP, RAJA KEONG MAS 9 GR, TUNTAS KEONG 15 WP ",siput murbei Pomacea canaliculata ,umum 
1747,"NICLOSAN 250 EC, ROMERO 50 WP ",siput murbei Pomacea cannaliculata ,umum 
1748,"BESTNOID 60 WP, TREBAZ 70 WP ",siput murbei Pomacea sp. ,umum 
1749,KEONGTOX 250 EC ,siput murbei Pomacea spp. ,umum 
1750,OVISTOP 100 EC ,telur dan nimfa wereng coklat Nilaparvata lugens ,umum 
1751,"HARAKA 0,005 BB, KILLMOS 80 P*, MANSOPHIDE 80 P*, VEMOUSE 80 P* ",tikus sawah Rattus argentiventer ,umum 
1752,"STARKUM 0,005 BB ","tikus sawah Rattus argentiventer, tikus pohon Rattus tiomanicus ",umum 
1753,STARMEK 18 EC ,"ulat grayak Mythimna separata, wereng coklat Nilaparvata lugens ",umum 
1754,PENALTY 50 SC ,walang sangit Leptocorisa oratoriuspenggerek batang Scirpophaga incertulas ,umum 
1755,CONFIDOR 5 WP ,walang sangit Leptocorisa acuta ,umum 
1756,DETONATOR 20 WP ,wereng batang coklatNilaparvata lugens ,umum 
1757,"RADIGEN 50 SC, STARLET 400 SL ",wereng batang coklat Nilaparvata lugens ,umum 
1758,BADIK 18 EC ,"wereng batang coklat Nilaparvata lugens, penggerek batang Scirpophaga incertulas ",umum 
1759,APRONIL 50 SC ,"wereng batang coklat Nilaparvata lugens, penggerek batang Scirpophaga incertulas, pelipat daun Cnaphalocrosis medinalis ",umum 
1760,NETOXIN 400 SL ,wereng coklat Nilaparvata lugenspenggerek batang Scirpophaga incertulas ,umum 
1761,BESHIPO 500 SL ,wereng coklat Nilaparvata lugens penggerek batang Scirpophaga incertulas ,umum 
1762,"ACQURA 500 EC, ALENA 200 SL, ARES 100 SL, BETADOR 10 WP , CENTADOR 10 WP, DIMOCEL 400 SL, INTERPRID 200 SL, MADRID 50/10 WP, PROMOBAS 500 EC, PUNTOXTRA 70 WG, SAMIDA 15 WP, SITOX 25 WP, TIDAL 5 WP, TOPIDA 25 WP, V-PRO 50 EC, VENOP 60 WP, WINYARD 70 WP ",wereng coklat Nilaparvata lugens ,umum 
1763,ABACEL 18 EC ,penggerek batang kuning Scirpophaga incertulas; wereng batang coklat Nilaparvata lugen ,umum 
1764,"ALPHADINE 6 GR, FERO GER, STARLET 400 SL, V-PRO 50 EC ",penggerek batang Scirpophaga incertulas ,umum 
1765,EXPERTO 300 SC ,"penggerek batang Scirpophaga incertulas, wereng coklat Nilaparvata lugens ",umum 
1766,"DEKAMON 22,43 L ","meningkatkan tinggi tanaman, jumlah anakan, jumlah gabah/malai, bobot 1000 butir, hasil /tanaman (g), hasil ubinan (kg), hasil/ha (kg) ",umum 
1767,"DEKAMON 1,2 GR ","Meningkatkan jumlah gabah per malai, hasil gabah per tanaman, hasil gabah per hektar ",umum 
1768,RENZO 250 EC ,"meningkatkan hasil tanaman, hasil ubinan dan hasil/ha. ",umum 
1769,SAGRI-FIX 45 SL ,meningkatkan hasil tanaman padi ,umum 
1770,FLASHMEX 20 SL ,"mempercepat tinggi tanaman, meningkatkan jumlah anakan, meningkatkan panjang malai, meningkatkan jumlah gabah/malai, meningkatkan bobot 1000 butir ",umum 
1771,SPONTANKING 400 SL ,"lalat daun Hydrellia philippina, hama putih Nymphula depunctalis ",umum 
1772,CONFIDOR 5 WP ,kepik hitam ramping Pachybarachlus pallicornis ,umum 
1773,GERHANA 865 SL ,"gulma berdaun lebar Monochoria vaginalis, Spenochlea zeylanica, Ludwigia hysophifolia, Lindernia ciliata, teki Cyperus iria, Fimbristylis littoralis ",umum 
1774,METSULINDO PLUS 80 WP ,"gulma berdaun lebar Monochoroa vaginalis, Marsilea crenata, Ludwigia octovalvis, teki Fimbristylis miliacea, Cyperus iria ",umum 
1775,FERANCHER 100 EC ,gulma berdaun sempit Echinochloa crus-galli ,umum 
1776,NOMINEE 100 OF ,"gulma berdaun sempit Paspalum distchum, Leptochloa nodosa, Echinochloa crus-galli, teki Cyperus iria ",umum 
1777,TI-GOLD XL 10 WP ,"gulma berdaun lebar Monochoria vaginalis, Marsilea crenata, Ludwigia octovalvis, teki Fimbristilys miliacea ",umum 
1778,MONEY 865 SL  ,"gulma berdaun lebar Monochoria vaginalis, Ludwigia octovalvis, Lindernia crustacea, teki Cyperus iria ",umum 
1779,BENFURON 12/18 WP  ,"gulma berdaun lebar Ludwigia octovalvis, Monochoria vaginalis, Limnocharis flava, Sphenochloa zeylanica, teki Fimbristylis miliacea ",umum 
1780,TRIDALLY 24 WG ,"gulma berdaun lebar Ludwigia octovalvis, Monochoria vaginalis, Lindernia crustacea, teki Fimbristylia miliacea ",umum 
1781,ALODI 15 WG ,"gulma berdaun lebar Ludwigia octovalvis, Monochoria vaginalis, Marsilea crenata ",umum 
1782,VULGAR 865 SL ,"gulma berdaun lebar Ludwigia octovalvis, Monochoria vaginalis, Spenochlea zeylanica, teki Cyperus difformis ",umum 
1783,METRON 20 WG ,"gulma berdaun lebar Ludwigia octovalvis, Monochoria vaginalis, Spenochlea zeylanica, teki Fimbristylis litoralis ",umum 
1784,RUMTOX 45 WP ,"gulma berdaun lebar Ludwigia octovalvis, Monochoria vaginalis, Spenochlea zeylanica, teki Fimbristylis miliacea ",umum 
1785,PROFORMIN 865 SL ,"gulma berdaun lebar Ludwigia octovalvis, Monochoria vaginalis, Sphenochlea zeylanica, teki Fimbristylis miliacea ",umum 
1786,TASMIN 865 SL ,"gulma berdaun lebar Lymnocharis flava, monochoria vaginalis ",umum 
1787,AMFURON 20 WG ,"gulma berdaun lebar Marsilea crenata, Monochoria vaginalis, Limnocharis flava ",umum 
1788,GALAMIN 865 SL ,"gulma berdaun lebar Marsilea crenata, Monochoria vaginalis, Limnocharis flava, Lugwigia octovalvis, gulma berdaun sempit Leptochloa chinensis ",umum 
1789,WIN 20 WG ,"gulma berdaun lebar Marsilea crenata, Monochoria vaginalis, Ludwigia octovalvis ",umum 
1790,WOLKY 60 WG ,"gulma berdaun lebar Lindernia crustacea, Ludwigia octovalvis, Marsilea crenata, Monocharia vaginalis, teki Fimbrystylis miliacea ",umum 
1791,AMINAX 865 SL ,"gulma berdaun lebar Lindernia crustacea, Ludwigia octovalvis, Monochoria vaginalis teki Fimbristilys milicea ",umum 
1792,FENOMIN 865 SL ,"gulma berdaun lebar Lindernia crustacea, Ludwigia octovalvis, Monochoria vaginalis, teki Fimbristylis miliacea ",umum 
1793,SIKATIN 865 SL ,"gulma berdaun lebar Ludwigia hysophifolia, Monochoria vaginalis, teki Cyperus iria, Fimbristylis littoralis ",umum 
1794,ANDALL 865 SL ,"gulma berdaun lebar Ludwigia hysophifolia, Spenochlea zeylanica, teki Cyperus iria, Fimbristylis littoralis ",umum 
1795,CLEANSPRAY 96 SG ,"gulma berdaun lebar Ludwigia octovalvis, Marsilea crenata, Monocharia vaginalis, teki fimbristylis miliacea ",umum 
1796,"BMA 6 865 SL, CBA-6 865 SL, PRIMAJOS 865 SL ","gulma berdaun lebar Ludwigia octovalvis, Marsilea crenata, Monochoria vaginalis ",umum 
1797,U-EMPAT ENAM 720 SL ,"gulma berdaun lebar Ludwigia octovalvis, Marsilea crenata, Monochoria vaginalis, Spenochlea zeylanica ",umum 
1798,METAPRIMA 20 WG ,"gulma berdaun lebar Ludwigia octovalvis, Marsilea crenata, Monochoria vaginalis, Spenochlea zeylanica, teki Fimbristylis miliacea ",umum 
1799,HERBAMIN 865 SL ,"gulma berdaun lebar Ludwigia octovalvis, Marsilea crenata, Spenochlea zeylanica, teki Fimbristylis miliacea ",umum 
1800,MEGA 9 865 SL ,"gulma berdaun lebar Ludwigia octovalvis, Monochoria vaginalis ",umum 
1801,WEEDROL 866 SL ,"gulma berdaun lebar Limnocharis flava, gulma berdaun sempit Leersia hexandra, teki Cyperus difformis, Scirpus juncoides ",umum 
1802,ALADIN 865 SL  ,"gulma berdaun lebar Althernanthera sessilis, Limnocharis flava, Ludwigia octovalvis, Portulaca oleracea ",umum 
1803,STARMIN 865 SL ,"gulma berdaun lebar Commelina diffusa, Rotala leptopetala, gulma berdaun sempit Leptochloa chinensis, teki Cyperus iria ",umum 
1804,AMANDY 865 SL ,"gulma berdaun lebar Hydrolea zeylanica, Spenochlea zeylanica, Ludwigia octovalvis, Monochoria vaginalis, teki Cyperus iria, Fimbristylis miliacea ",umum 
1805,CYCLON 290 SL ,"gulma berdaun lebar Althernanthera sesillis, Limnocharis flava, Portulaca oleracea ",umum 
1806,WEEDAMIN 865 SL ,"gulma berdaun lebar Althernanthera philoxeroides, Ludwigia octovalvis, teki Cyperus difformis, Cyperus iria, Fimbristylis miliacea ",umum 
1807,SOLUSI 865 SL ,gulma berdaun lebar Sphenochlea zeylanica ,umum 
1808,SIDAFUR 3 GR ,ganjur Orseolia oryzae ,umum 
1809,SATURN-D 6 GR ,gulma berdaun lebarGratiola junceaMonochoria vaginalisSphenoclea zeylanicagulma berdaun sempitEchinochloa colonumEchinochloa  crus-galliLeptochloa chinensistekiFimbristylis miliaceaScirpus lateriforus ,umum 
1810,BASAGRAN 460 SL ,gulma berdaun lebar Althernanthera philoxeroidesLudwigia octovalvisPenochloa zeylanicagolongan rumputEchinochloa crus-galliLeptochloa chinensisteki Cyperus iriaFimbristylis miliacea  ,umum 
1811,VIRTAKO 300 SC ,penggerek batang Scirpophaga incertulas ,umum 
1812,SANTAQUAT 276 SL* ,gulma berdaun lebarLudwigia octovalvistekiEleocharis dulcis ,umum 
1813,NOXONE 297 SL* ,"gulma berdaun lebar Aeschynomene indica, Alternanthera sessilis, Limnocharis flava, Ludwigia octovalvis, Sphenochlea zeylanica, gulma berdaun sempit Leersia hexandra, Leptochloa chinensis, teki Cyerus malaccensis, Eleucaris dulcis ",umum 
1814,KONTAXONE 310 SL* ,"gulma berdaun lebar Hyptis brevipes, Ludwigia hyssopifolia, gulma berdaun sempit Paspalum commersonii, Setaria pallide-fusca, teki Fimbristylis miliacea ",umum 
1815,SUN UP 480 SL ,teki Cyperus iria ,umum 
1816,BATARA 135 SL* ,"teki Cyperus sp., Eleocharis dulcis ",umum 
1817,COUNCIL COMPLETE 300 SC ,"gulma berdaun lebar Alternanthera piloxeroides, Marsilea crenata, Echinochloa collona, Ludwigia perennis, Monochoria vaginalis; gulma berdaun sempit Leptochloa chinensis, Echinochloa collona; teki Cyperus difformis, Fimbristylis miliacea ",umum 
1818,COUNCIL COMPLETE 300 SC ,"gulma berdaun lebar Ludwigia perennis, Marsilea crenata; gulma berdaun sempit Echinochloa collona, Ischaemum rugosum, Leptochloa chinensis, Paspalum distichum; teki Cyperus difformis ",umum 
1819,CALIBER 100 SC ,"gulma berdaun lebar Ludwigia octovalvis, gulma berdaun sempit Echinochloa crus-galli, teki Cyperus iria, Fimbrystylis miliacea ",umum 
1820,THIOSIDA 6 GR ,gulma berdaun lebarLugwigia octovalvisMonochoria vaginalisgulma berdaun sempitEchinochloa crus-gallitekiCyperus iria ,umum 
1821,RICESTAR XTRA 89 OD ,gulma berdaun lebarMarsilea crenataMonochoria vaginalisgulma berdaun sempit Echinochloa crus-galli  ,umum 
1822,ALCHER 100 EC ,gulma berdaun sempit Echinochlea crus-galli ,umum 
1823,EXRAN 100 EC ,gulma berdaun sempit Echinochloa crus-galli ,umum 
1824,ABIMEE 100 SC ,"gulma berdaun lebar Ludwigia octovalvis, gulma berdaun sempit Echinochloa crus-galli, teki Cyperus iria, Fimbristylis miliacea ",umum 
1825,TABAS 400 SC ,"gulma berdaun lebar Ludwigia octovalvis, Monochoria vaginalis, gulma berdaun sempit Echinochloa crus-galli, teki Fimbristilis miliacea, Cyperus iria ",umum 
1826,OLE-OLE 865 SL ,"gulma berdaun lebar Ludwigia octovalvis, Marsilea crenata, Monochoria vaginalis ",umum 
1827,SOLITO 320 EC ,"gulma berdaun lebar Marsilea crenata, Monochoria vaginalis, gulma berdaun sempit Echinochloa crus-galli, teki Cyperus iria, Fimbristylis littoralis ",umum 
1828,BORAL 480 SC ,"gulma berdaun lebar Monochoria vaginalis, Ludwigia hyssopifolia, gulma berdaun sempit Leptochloa chinensis, teki Fimbrisylis littoralis ",umum 
1829,CMA 6 865 SL ,"gulma berdaun lebar Monochoria vaginalis, Ludwigia octovalvis ",umum 
1830,BM BENTA-Q 480 SL ,"gulma berdaun lebar Monochoria vaginalis, teki Cyperus iria ",umum 
1831,SURPASS 200 EC ,gulma berdaun sempitEchinochloa cruss-galliPaspalum distichum ,umum 
1832,SURPASS 200 EC ,gulma berdaun sempitLeptochloa chinensis ,umum 
1833,"APIRO 550,8 SC ","gulma berdaun lebar Spenochlea zeylanica; gulma berdaun sempit Echinochloa crusgalli, Leptochloa chinensis; teki Cyperus iria, Fimbrystillis millicea ",umum 
1834,PMA 6 865 SL ,"gulma berdaun lebar Jussica repens, Limnocharis flava, Monocharia vaginalis; gulma berdaun sempit Paspalum distichum; teki Cyperus iria ",umum 
1835,COUNCIL COMPLETE 300 SC ,"gulma berdaun lebar Marsilea crenata, Ludwigia perennis, Ludwigia hysophilofia, Spenochlea zeylanica; gulma berdaun sempit Echinochloa collona, Leptochloa chinensis, Leersia hexandra; teki Cyperus difformis, Fimbristylis miliacea ",umum 
1836,SIDANEE 125 SC ,"gulma berdaun lebar Alternanthera piloxeroides, Limnocharis flava, Ludwigia octovalvis, Monochoria vaginalis; golongan rumput Echinochloa cruss-gali, Cyperus iria ",umum 
1837,SERENDY 28 WP ,"gulma berdaun lebar Alternanthera piloxeroides, Monocharia vaginalis, Marsilea crenata; gulma berdaun sempit Echinochloa cruss-galli, Paspalum distichum; teki Cyperus iria, Fimbristylis miliacea ",umum 
1838,THIOSIDA 6 GR ,gulma berdaun lebarMarsilea crenataMonochoria vaginalisLugwigia octovalvisgulma berdaun sempitEchinochloa crus-gallitekiFimbristylis miliacea ,umum 
1839,PYRIB 400 SC ,"gulma berdaun lebar Alternanthera piloxeroide, Ludwigia octovalvis, Monochoria vaginalis, Marsilea crenata; gulma berdaun sempit, Echinochloa crussgalli; teki Cyperus iria ",umum 
1840,RANGER 240 SL ,gulma berdaun lebar Hydrolea zeylanica ,umum 
1841,RANGER 240 SL ,gulma berdaun lebar Spenochloa zeylanica ,umum 
1842,"HARBER 60 WP, SELDENE 250 EC, STROMBIX 70 WP, ZESSNOIT 60 WP ",siput murbeiPomacea canaliculata ,umum 
1843,PRIMADINE 450 SL ,penggerek batang padi kuningScirpophaga incertulaswereng batang coklatNilaparvata lugens ,umum 
1844,BTPLUS ,penggerek batang padi kuningScirpophaga incertulas ,umum 
1845,TECAM 80 WG ,penggerek batang Scirpophaga incertulas ,umum 
1846,DKAZTROZOL PLUS 375 SC ,penyakit bercak coklat sempitCercospora janseana ,umum 
1847,SCORPIO 250 EC ,penyakit bercak daun Cercospora sp. ,umum 
1848,KAMIKAZE 371 EC ,penyakit blasPyricularia oryzae ,umum 
1849,CENTAN 60 WP ,siput murbaiPomacea canaliculata ,umum 
1850,"BESISTAN 60 WP, GOLDENSNAIL 6 PL ",hama siput murbeiPomacea canaliculata ,umum 
1851,BM HAMMER 45 WP ,hama siput murbeiPomacea cannaliculata ,umum 
1852,SUPEGIBB 10 SP ,"meningkatkan jumlah anakan, hasil ubinan, dan hasil per hektar ",umum 
1853,"KELPAK 11/0,031 SL ","meningkatkan jumlah anakan, meningkatkan jumlah gabah/malai, meningkatkan tinggi tanaman, meningkatkan jumlah anakan produktif, hasil gabah/ha ",umum 
1854,DESKOR 95 WP ,"meningkatkan tinggi tanaman, jumlah anakan, jumlah anakan produktif, jumlah gabah/malai, hasil gabah/tanaman dan hasil gabah/h ",umum 
1855,GATIGA 5 WP ,"meningkatkan tinggi tanaman, jumlah anakan, jumlah anakan produktif, komponen hasil gabah/tanaman, dan hasil gabah/ha ",umum 
1856,SIDATAN 410 SL ,penggerek batangScirpophaga incentulas wereng batang coklatNilaparvata lugens wereng punggung putihSogatella furcifera ,umum 
1857,INDODINE 6 GR ,penggerek batang Scirpophaga incertulaswereng batang coklatNilaparvata lugens ,umum 
1858,KLOPER 500 SL ,Penggerek batang kuningScirpophaga incertulas ,umum 
1859,RUMPUTPASS 120 EW ,gulma berdaun sempitEchinochlia cruss-galliLeptochloa chinensis ,umum 
1860,SPENOC 600 EC ,gulma berdaun sempitEchinochloa cruss-galli ,umum 
1861,PROMOMIN 865 SL ,gulma beredaun lebar Ludwigia octovalvisMonochoria vaginalisgulma berdaun sempit Spenochlea zeylanicateki  Fimbristylis miliacea  ,umum 
1862,DKBENTA PLUS 432 SL ,"gulma berdaun lebar, Alternanthera philoxeroides, Ludwigia perennis, Monochoria vaginalis; golongan rumput Leptochloa synensis; teki Cyperus difformis, Fimbrystylis miliacea ",umum 
1863,HOLDOWN 430 CS ,"gulma berdaun lebar Monochoria vaginalis; gulma berdaun sempit, Echinochloa crus-galli; teki Cyperus diformis ",umum 
1864,SALVATORE 12/18 WP ,"gulma berdaun lebar Spenochlea zeylanica; golongan rumput Echinochloa crus-galli, Fimbristylis miliacea ",umum 
1865,ECHO 36 WP ,"gulma berdaun lebar Marsilea crenata, Monochoria vaginalis; golongan rumput Echinochloa crus-galli, teki Fimbristylis miliacea, Cyperus difformis ",umum 
1866,WISH 590 EC ,"gulma berdaun lebar Monochoria vaginalis, gulma berdaun sempit, Echinochloa crusgalli; teki Cyperus diformis ",umum 
1867,FUSO 36 WP ,"gulma berdaun lebar Monochoria vaginalis; golongan rumput Echinochloa crus-galli; teki Cyperus diformis, Fimbristylis miliacea ",umum 
1868,SODIAK 400 SC ,"gulma berdaun lebar Ludwigia perennis, Ludwigia octovalvis, Limnocharis flava, Marsilea crenata, Monochoria vaginalis; golongan rumput Echinochloa colona, Leptochloa chinensis ",umum 
1869,LIVANTO 100 EC ,"gulma berdaun lebar Ludwigia perennis, Monocharia vaginalis, Marsilea crenata, Limnocharis flava; teki Cyperus difformis, Fimbristylis miliacea ",umum 
1870,SOREXIN 100 SC ,"gulma berdaun lebar Ludwigia perennis, Monochoria vaginalis, Marsilea crenata; gulma berdaun sempit Echinochloa colona; teki Cyperus difformis, Fimbristylis miliacea ",umum 
1871,MITSUFURON 20 WG ,"gulma berdaun lebar Lymnocharis flava, Monochoria vaginalis ",umum 
1872,SOREXIN 20 WP ,"gulma berdaun lebar Marsilea crenata, Ludwigia perennis, Monochoria vaginalis; teki Cyperus diformis ",umum 
1873,RICEQUICK 50 WP ,"gulma berdaun lebar Ludwigia octovalvis, Monochoria vaginalis, Marsilea crenata; gulma berdaun sempit, Echinochloa colona, Leersia hexandra, Leptochloa chinensis; teki Cyperus difformis, Fimbristylis miliacea ",umum 
1874,BISPAC 100 SC ,"gulma berdaun lebar Ludwigia octovalvis, Marsilea crenata, Monochoria vaginalis, Sphenoclea zeylanica; golongan rumput Leersia hexandra, Leptochloa synensis; teki Cyperus iria ",umum 
1875,ALCHER GOLD 200 EC ,gulma berdaun lebarEchinochloa crusgalliLeptochloa chinensis ,umum 
1876,RICESTAR XTRA 89 OD ,gulma berdaun lebarLimnocharis flavagulma berdaun sempitEchinochloa cruss-galii ,umum 
1877,"SANTAFURON 20 WG, VENTORY 865 SL ",gulma berdaun lebarLudwigia octovalvisMarsilea crenataMonochoria vaginalis ,umum 
1878,KIMIRU 45 WP ,gulma berdaun lebarLudwigia octovalvisMonochoria vaginalisSphenocholea zeylanicatekiFimbristylis miliaceaScirpus juncoides ,umum 
1879,RICESTAR XTRA 89 OD ,gulma berdaun lebarMarsilea crenatagulma berdaun sempitLeptochloa chinensis ,umum 
1880,SATURN-D 600 EC ,gulma berdaun lebarMonochoria vaginalisgulma berdaun sempitEchinochloa  crus-gallitekiCyperus difformisFimbristylis littoralisScirpus juncoides ,umum 
1881,BELLMAC 240 EC ,Gulma berdaun lebarMonochoria vaginalisLudwigia octovalvisGulma berdaun sempitLeptochloa chinensisEchinochloa colonaTekiCyperus difformisFimbristylis milicea ,umum 
1882,OBALOLO 865 SL ,gulma berdaun lebar Ludwigia octovalvisMonochoria vaginalis  ,umum 
1883,SALVATORE 12/18 WP ,"gulma berdaun lebar Alternanthera piloxeroides, Ludwigia octovalvis, Monochoria vaginalis ",umum 
1884,CYALOPRO-XTRA 420 EC ,"gulma berdaun lebar Alternanthera piloxeroides, Ludwigia octovalvis, Monochoria vaginalis, Spenochlea zeylanica; gulma berdaun sempit Echinochloa cruss-galli; teki Cyperus iria ",umum 
1885,ROSHO 28 WP ,"gulma berdaun lebar Jussiaea repens, Limnocharis flava, Monochoria vaginalis; gulma berdaun sempit Paspalum distichum; teki Scirpus juncoides ",umum 
1886,KYUUBI 865 SL ,"gulma berdaun lebar Limnocharis flava, Ludwigia perennis, Monochoria vaginalis; teki Fimbristylis miliacea ",umum 
1887,SIDATAN 410 SL ,belalangValabga nigricorniswalang sangitLeptocorisa oratorius ,umum 
1888,"MACSPRAY 76,4 WP ",gulma berdaun lebarAlternanthera piloxeroidesLudwigia octovalvisMarsilea crenataMonochoria vaginalisSpenochlea zeylanica ,umum 
1889,RUNSTAR 300 EC ,gulma berdaun lebarAlternanthera piloxeroidesLudwigia octovalvisMonochoria vaginalis ,umum 
1890,CENTADINE 450 SL ,wereng batang coklatNilaparvata lugenspenggerek batang Scirpophaga incertulas ,umum 
1891,ALPHADINE 6 GR ,wereng batang coklat Nilaparvata lugens ,umum 
1892,"BAYOGITON 500 SL, BM HAMATI 25 WG, DIMETOP 525 SL, GAVIN 35 WP, KLOPER 500 SL, LORENTZ 61 EC, METARIZEP WP, PROMIDA 55 WP, ROLTAP 450 SL, TEBALLO 250 SL, TRIPO 450 SL ",wereng coklatNilaparvata lugens ,umum 
1893,CONFIDOR 5 WP ,wereng coklat         Nilaparvata lugens   ,umum 
1894,"CLOSER 50 WG, TECAM 80 WG ",wereng coklat Nilaparvata lugens ,umum 
1895,BARRIER 5 GR ,"wereng coklat Nilaparvata lugens,  penggerek batang Scirpophaga incertulas ",umum 
1896,"MATIKUS 80 P*, PANTIKUS 0,005 BB, RATKILL 80 P ",tikus sawahRattus argentiventer ,umum 
1897,CRIPTAN 250 EC ,Siput murbei Pomacea cannaliculata ,umum 
1898,BENSIDA 70 WP ,siput murbei Pomacea canaliculata ,umum 
1899,BLUETAN 45 WP ,siput murbeiPomacea caniculata ,umum 
1900,MUSI 67 WP ,siput murbeiPomacea sp. ,umum 
1901,BAYLUSCIDE 250 EC  ,Siput murbei Pomacea canaliculata ,umum 
1902,SATURN-D 6 GR ,"gulma berdaun lebar Monochoria vaginalis ; gulma berdaun sempit Paspalum vaginatum, teki Cyperus iria, Fimbristylis miliaceae ",umum 
1903,CLINCHER 100 EC ,golongan rumputEchinochloa crus-galliLeptochloa chinensis  ,umum 
1904,SATURN-D 600 EC ,gulma berdaun lebarMonochoria vaginalisgulma berdaun sempitPaspalum vaginatumEchinochloa  crus-gallitekiCyperus difformisFimbristylis littoralis ,umum 
1905,TOPSIDA 75 WP ,penyakit blasPyricularia 0ryzae ,umum 
1906,MIPCINTA 50 WP ,wereng hijauNephotetix virescens ,umum 
1907,ALAMO 350 SC ,wereng hijauNephotettix virescenswereng coklatNilaparvata lugens  ,umum 
1908,SAMBER 50 SL ,wereng hijauNephotettix virescens ,umum 
1909,KARBASIN 500 EC ,wereng coklat Nilaparvata lugens ,umum 
1910,"ABAKTIN 18 EC, AZATIN 500 SC, KIMIDA 10 WP, VIRTAKO 300 SC ",wereng coklat Nilaparvata lugens ,umum 
1911,"BM MASCONIL 50 SC, CATALAN 33 WP, HIPPO 400 SL, HIPPO 48 WP, MANUVER 6 GR, PEXALON 106 SC, PLATINUM 20 SC, PRESSURE 400 SL, SAMBER 50 SL, TAMABAS 500 EC, TIODOR 30 WP ",wereng coklatNilaparvata lugens ,umum 
1912,ABUKI 50 SL ,"wereng hijau Nephotettix virescens, wereng coklat Nilaparvata lugens, wereng punggung putih Sogatella furcifera ",umum 
1913,OVISTOP 100 EC ,wereng batang coklat Nilaparvata lugens ,umum 
1914,MIPCINTA 50 WP ,wereng coklatNilaparvata lugens walang sangitLeptocorisa oratorius ,umum 
1915,PROWL 330 EC ,teki Fimbristylis litoralis gulma berdaun sempit Echinochloa sp. ,umum 
1916,SONIC 450 SL ,wereng batang coklatNilaparvata lugens ,umum 
1917,KOJO 300 SC ,penyakit blastPyricularia oryzae ,umum 
1918,HEXAGOLD 75 WP ,penyakit busuk pelepahRhizoctonia sp. ,umum 
1919,SIDAZOL 250 EC ,penyakit hawar daunRhizoctonia solani ,umum 
1920,SAGRI-SHIELD 20/20 WP ,penyakit hawar daunXanthomonas oryzae ,umum 
1921,TANCAP 80 WG ,penyakit hawar daun Xanthomonas campestrivs ,umum 
1922,CARINO 250 EC ,"penyakit hawar pelepah Rhizoctonia solani, penyakit blast Pyricularia oryzae ",umum 
1923,"ROLIZOL 250 EC, TRIDIUM 70 WG ",penyakit hawar upih daunRhizoctonia solani ,umum 
1924,SINOPEST 250 EC ,penyakit pelepah daunRhizoctonia solani ,umum 
1925,"E-AZOKING 400 SC, NOSTRO 440 EC, SAGRI-MANZIM 65/20 WP ",penyakit hawar pelepah daunRhizoctonia solani ,umum 
1926,"BOOMING 250 EC, PRIMAZOL 250 EC ",penyakit hawar pelepah Rhizoctonia solani ,umum 
1927,"HEZOLE 50 SC, PROGO 490 EC, SRI DOBELOMAX 300 EC ",penyakit hawar pelepahRhizoctonia solani ,umum 
1928,KOJO 300 SC ,penyakit hawar pelepahSarocladium sp. ,umum 
1929,ZETRO 75 WG ,penyakit hawar pelepahRhizoctonia solani ,umum 
1930,CENTASCORE 275 EC ,penyakit hawar pelepahRhizoctonia solanipenyakit bercak coklatCercospora janseana ,umum 
1931,KONTAF 50 SC ,penyakit hawar pelepahRhizoctonia solanipenyakit busuk batang Helminthosporium sigmoideum ,umum 
1932,KONTAF 50 SC ,penyakit blastPyicularia oryzae ,umum 
1933,"VERTIBAK 50 WP, VERTIBAK 60 SP ",penyakit blastPyricularia oryzae ,umum 
1934,SRI MAGIO 325 SC ,penyakit bercak daunCercospora sp. ,umum 
1935,SORENTO 250 EC ,penyakit bercak coklatCercospora janseanapenyakit hawar pelepah daunRhizoctonia solani ,umum 
1936,DIMENOL 15 WG ,penyakit bercak coklatHelminthosporium oryzae ,umum 
1937,CARINO 250 EC ,Penyakit bercak coklat sempit Cercospora janseana ,umum 
1938,ORYZOLE 250 EC ,penyakit bercak daunCercospora sp.penyakit hawar upihRhizoctonia sp. ,umum 
