no,nama media,jenis media,penanggung jawab,pemimpin redaksi,badan hukum,provinsi,alamat,email
1148,Bengkulu News,Cetak,,,PT,Bengkulu,"Jl. Kapten Tendean KM 6.5 Komplek PU Pengairan No. 13, Kota Bengkulu",bengkulunews@yahoo.com
1149,Tribun Jabar,Cetak,,,PT,Jawa Barat,"Jl. Sekelimus Utara No. 2-4 Bandung, 40266",redaksi@tribunjabar.co.id
1150,balipuspanews.com,Siber,,,PT,Bali,"Perumahan Bumi Sasih Asri Blok I No.7, Banjar Sasih, Batubulan, Sukawati - Gianyar, Bali",puspaartayasa@gmail.com
1151,bengkulunews.co.id ,Siber,,,PT,Bengkulu,Jl. Kali Brantas No. 02 RT. 09 RW. 03 Kelurahan Padang Harapan Kecamatan Gading Cempaka Kota,
1152,Harapan Rakyat,Cetak,,,PT,Jawa Barat,Jl. Lingkungan Cikabuyutan Barat Kel. Hegarsari Kota Banjar,harapanrakyat_news@yahoo.com
1153,Radar Lampung TV ,Televisi,,,PT,Lampung,Jl. Sultan Agung No.18 Kedaton Way,
1154,Beritabali.com,Siber,,,PT,Bali,"Jl. Gunung Sanghyang, Kesambi Baru No. 12?B, Kerobokan, Kuta Utara, Kabupaten Badung?Bali",redaksi@beritabali.com
1155,Jawapos TV,Televisi,,,PT,Banten,"Jl. Gunung Karang No. 115 RT/RW 004/007 Cicadas, Pandeglang Banteng",redaksibanten@jawapos.tv
1156,Harian Momentum,Cetak,,,PT,Lampung,"Jl. Imam Bonjol 147 Sukajawa, Tanjungkarang Barat, Bandar Lampung",harianmomentum@gmail.com
1157,CWM  Channel TV,Televisi,,,PT,Papua Barat,"Jl. D. Maninjao No.19 Rufei Kota Sorong, Papua Barat",
1158,Ujungpandang Ekspres,Cetak,,,PT,Sulawesi Selatan,"Jl. Urip Sumoharjo No.20 Makassar, Sulawesi Selatan",redaksi.upeks@yahoo.co.id
1159,indonesiasatu.co.id,Siber,Hendri,Hendir,PT JURNALIS INDONESIA SATU,DKI Jakarta,"JAKARTA - Jl. Terusan I Gusti Ngurah Rai, Ruko Warna Warni No.7 Pondok Kopi Jakarta Timur 13460",
1160,Potret24.com,Siber,Gerri,Gerri,PT. Potret Inti Media,Riau,Jl. Sidomulyo 1 No.98 Kelurahan Padang Bulan Kecamatan Senapelan,redaksipotret24@gmail.com
1161,lahathotline.com,Siber,JON HERI,ISHAK NASRONI,PT. AMPERA LAHAT PUTRA,Sumatera Selatan,"Jalan Serelo Kelurahan Pasar Lama, Kecamatan Lahat.",lahathotline@gmail.com
1162,jurnalkepri.com,Siber,Reski Muralino,Reski Muralino,Jurnal Kepri Sejahtera,Kepulauan Riau,"Jalan Pantai Impian Gang, Ketam No 1, Kelurahan Kp Baru, Kota Tanjungpinang, Provinsi Kepulauan Riau",media.jurnalkepri@gmail.com
1163,Suara Media Nasional,Cetak,Kanti Wiyoto,Kanti Wiyoto,pt,Jawa Timur,"JL.Durian,Ruko PG Pesantren, Kota Kediri Kantor pusat: Dsn.Temboro Desa Plaosan Kec.Wates , Kediri 64174",suaramedianasional@gmail.com
1164,Liputankepri.com,Siber,,,PT,Kepulauan Riau,"Jl. Telaga Riau Rt.006/002 Kel. Sungai Lakam Barat, Kab. Karimun, Kep. Riau",liputankepri2015@gmail.com
1165,Posmetro Padang ,Cetak,-,-,pt,Sumatera Barat,"Jl. Adinegoro No. 17A, Lubuk Padang Buaya, Padang",posmetropadang@gmail.com 
1166,Radar Tegal,Cetak,M. Sekhun Inchron,Muhammad Fatkhurohman,PT. Wahana Semesta Tegal,Jawa Tengah,"Graha Pena  Radar Tegal, Jl. Perintis Kemerdekaan No. 32 Kota Tegal",rateg2000@gmail.com | rateg2000@yahoo.com
1167,Fajar Cirebon,Cetak,,,PT,Jawa Barat,"Jl. Pangeran Cakrabuana No. 03 Talun, Cirebon",redaksi@fajar-cirebon.com
1168,Jak TV,Televisi,,,PT,Jakarta,"Jl. Jend. Sudirman kav. 52 '-53, Kawasan SCBD, Kel. Senayan, Kec. Kebayoran Baru",
1169,Radar Cirebon Televisi,Televisi,,,PT,Jawa Barat,"Graha Pena Radar Cirebon
Jl. Perjuangan No 9 Kota Cirebon Prov. Jawa Barat",rctvcirebon@gmail.com
1170,Radar Cirebon,Cetak,,,PT,Jawa Barat,"Graha Pena Radar Cirebon, Jl. Perjuangan No . 9 Kota Cirebon  Kode Pos : 45154",redaksi@radarcirebon.com
1171,Rakyat Cirebon,Cetak,,,PT,Jawa Barat,Jl. Perjuangan No. 99 Cirebon,rakyatcirebon@gmail.com
1172,Radar Bekasi,Cetak,,,PT,Jawa Barat,"Perkantoran Suncity Square, Jl. M. Hasibuan Blok. A40 â€“ 41, Bekasi",redaksi@radarbekasi.com
1173,Tangerangonline.id,Siber,,,PT,Banten,"Jl. Yapen Raya Blok QD No. 3 Sektor 14.6, Nusa Loka Bsd, Serpong Tanggerang Selatan",redaksi@tangerangonline.id
1174,idntimes.com,Siber,,,PT,Jakarta,"Jl. Palmerah Utara 62A, Jakarta Barat 11480",redaksi@idntimes.com
1175,telusur.co.id,Siber,,,PT,Jakarta,"Komplek Kalibata Indah
Jl. Durian Blok O No.1 Rawajati, Jakarta Selatan 12750",keranjang@telusur.co.id
1176,IPOTNEWS.COM,Siber,,,PT,Jakarta,"Wisma GKBI 7/F Suite 718, Jl. Jend. Sudirman No. 28, Jakarta 1021",redaksi@ipotnews.com
1177,Pojoksatu.id,Siber,Muhammad Ridwan,Muhammad Ridwan,Pojok Satu Indonesia,Jawa Barat,"Graha Pena Bogor Lantai 4
Jl KH Abdullah bin Muhammad Nuh No 30 Kota Bogor, Jawa Barat.",
1178,Rakyat Aceh,Cetak,,,PT,Aceh,"Jl. Sultan Malikussaleh No. 109, Lhong Raya, Banda Aceh 23238",rakyataceh@yahoo.com / metroaceh@gmail.com
1179,Radar Seluma,Cetak,,,PT,Bengkulu,"Jl. Merdeka Tais No. 27 Kel. Lubuk Lintang, Tais Seluma Kota, Bengkulu 38576 Jl. Merdeka Tais No.47 Dasar Tais Seluma, Bengkulu 38576",radarseluma@gmail.com
1180,Radar Bengkulu,Cetak,,,PT,Bengkulu,"Jl. P. Tendean No 3F Kota Bengkulu, 38224",radarbengkulu@yahoo.com;radarbengkulu@gmail.com
1181,Radar Utara,Cetak,,,PT,Bengkulu,"Jl. M. Hatta No.78, Rama Agung, Arga Makmur, Bengkulu Utara",radut@ymail.com
1182,Azam,Cetak,,,PT,Riau,Jl. Parit Indah Komplek Perkantoran Grand Sudirman Blok B 10 Pekanbaru,mingguan_azam@yahoo.com
1183,Pos Metro Mandau,Cetak,,,PT,Riau,Jl. KH. Ahmad Dahlan No. 14C Pekanbaru,mandauposmetro@gmail.com
1184,Pos Metro Indragiri,Cetak,,,PT,Riau,"Jl. Hr. Soebrantas km. 105, Panam, Pekanbaru                                                                       ",posmetroindragiri@gmail.com
1185,Pos Metro Rohil,Cetak,,,PT,Riau,"Jl. Hr. Soebrantas km. 105, Panam, Pekanbaru",posmetrorohil@gmail.com
1186,Haluan Riau,Cetak,,,PT,Riau,Gedung Riau Pers  Jl. Tuanku Tambusai No. 7 Pekanbaru 28282 ,haluanriaupress@gmail.com
1187,Koran Riau,Cetak,,,PT,Riau,Jl. S. Parman No. 37 Pekanbaru,koranriau@gmail.com
1188,Metro Riau,Cetak,,,PT,Riau," Metro Graha Pena, Jl. Soekarno Hatta No. 20-28, Pekanbaru",metroriau.redaksi@gmail.com
1189,Pekanbaru MX,Cetak,,,PT,Riau,"Gedung Graha Pena Pekanbaru lantai 6, Jl. H.R. Soebrantas KM 10,5 Tampan ",pekanbaru_mx@gmail.com
1190,Pekanbaru Pos,Cetak,,,PT,Riau,"Gedung Graha Pena Lt. .6 
Jl. Hr. Soebrantas KM. 10,5 Panam
",pekanbarupos7@gmail.com
1191,Rakyat Riau,Cetak,,,PT,Riau,"Jl Gunung Agung No. 50, Pekanbaru",
1192,Riau Pos,Cetak,,,PT,Riau,"Gedung Riau Pos Jl. Subrantas (Jl. Raya Pekan Baru Bangkinang) Km 10,5",redaksi@riaupost.com
1193,Haluan,Cetak,,,PT,Sumatera Barat,"Kompleks Bandara Tabing, Jln. Hamka Padang",redaksi_haluan@yahoo.com
1194,Padang Ekspres,Cetak,,,PT,Sumatera Barat,"Jl. Adi Negoro No. 17a, Lubuk Buaya, Padang",redaksi@padangekspres.co.id
1195,Singgalang,Cetak,,,PT,Sumatera Barat,"Jl. Veteran No. 17, Padang - 25116",hariansinggalang@yahoo.co.id
1196,Sumsel  Post,Cetak,,,PT,Sumatera Selatan,"Jl. Bidar Blok B. No.24 Pom IX, Palembang",sumsel_post@yahoo.com
1197,Aksi,Cetak,,,PT,Sumatera Selatan,"Jl. Jend. A Yani, Gg. Dua Saudara No. 734 / 13 ULU, Palembang",
1198,Majalah Arung Media,Cetak,,,PT,Sumatera Selatan,"Jl. RA Abusamah/Manggis I No. 2789, Kel. Sukajaya, Kec. Sukarame, Palembang 30151",arungnews@yahoo.com; ratuanum@yahoo.com
1199,Analisa,Cetak,,,PT,Sumatera Utara,"Jl . Jend. A. Yani No.35-49 Medan, 20111; Kotak Pos: 1481, Telex: No. 51326",online@analisadaily.com
1200,Andalas,Cetak,,,PT,Sumatera Utara,"Jl. T. Amir Hamzah Ruko,  Kompleks Griya Riatur Indah  No.182-186 Medan",andalas.redaksi@gmail.com ; andalasnewsmedan@gmail
1201,Medan Pos,Cetak,,,PT,Sumatera Utara,"Jl. Mayjen Sutoyo Siswomiharjo No. 107-109, Medan, Sumut, 20111",medanpos2000@yahoo.com
1202,Sumut Pos,Cetak,,,PT,Sumatera Utara,"Graha Pena, Jl. Sisingamangaraja Km 8,5 No. 134, Medan ",redaksi@hariansumutpos.com; redaksi@sumutpos.co
1203,Bali Post,Cetak,,,PT,Bali,Jl. Kepundung No. 67 A Denpasar 80232,balipost@indo.net.id
1204,Denpost,Cetak,,,PT,Bali,"Gedung Pers Bali K Nadha
Jl. Kebo Iwa 63A, Denpasar, Bali",denpostbali@yahoo.com
1205,Fajar Bali,Cetak,,,PT,Bali,"Jl. Indrajaya No.8 Ubung Kaja, Denpasar, Bali",berita_fajar@yahoo.co.id
1206,Tokoh,Cetak,,,PT,Bali,"Gedung Pers Bali K. Nadha, Lt. III, Jl. Kebo Iwa 63 A Denpasar 80117",
1207,Banten Raya,Cetak,,,PT,Banten,"Komp. Rukun Cilegon Business Square Blok A No. 18  Jl. Raya Pcl Kel. Kedaleman Cibeber, Cilegon, Banten",barayapost@gmail.com
1208,Radar Banten,Cetak,,,PT,Banten,"Graha Pena Radar Banten Jl. Kolonel H TB. Suwandi, Lingkar Selatan, Serang, Banten",kang_haban2001@yahoo.com
1209,Bengkulu Ekspres,Cetak,,,PT,Bengkulu,Graha Bengkulu Ekspress Jl. Jati No. 129 Simpang Skip Kota Bengkulu,bebarometer@gmail.com; bengkuluekspres1@yahoo.co.i
1210,Radar Selatan,Cetak,,,PT,Bengkulu,"Jl. Fatmawati No.9 Kel. Kampung Baru Kec. Kota Manna, Bengkulu",mannarafel@yahoo.co.id
1211,Rakyat Bengkulu,Cetak,,,PT,Bengkulu,"Jl. Natadirja No. 69 Km 6,5, Bengkulu",
1212,Gorontalo Post,Cetak,,,PT,Gorontalo,"Gedung Graha Pena Gorantalo Jl.  Jhon Ario Katili (Eks. Jl. Andalan No. 144), Gorontalo",redaksi@gorontalopost.com
1213,Sinar Tani,Cetak,,,PT,Jakarta,"Jl. Harso  RM 3 Ragunan, Jakarta 12550",sinartani@cbn.net.id
1214,Indonesia Shang Bao,Cetak,,,PT,Jakarta,"Jl. Raden Shaleh 1B-1D, Jakarta 10330",redaksishangbao@gmail.com
1215,Harian Indonesia,Cetak,,,PT,Jakarta,"Jl. Gajah Mada 96-97, Jakarta Barat",naskahpers@gmail.com
1216,Ummi,Cetak,,,PT,Jakarta,"Jl. Mede No.42a Utan Kayu Utara, Jakarta",majalah_ummi@yahoo.com
1217,Koran Jakarta,Cetak,,,PT,Jakarta,"The Bellezza Office Tower, Lt. 26, Jl. Letjen Soepeno 34 Permata Hijau, Jakarta Selatan 12210",redaksi@koran-jakarta.com
1218,Koran Tempo,Cetak,,,PT,Jakarta,"Jl. Kebayoran Baru, Mayestik, Kebayoran CenterBlok A11-A15, Jakarta Selatan 12240",koran@tempo.co.id
1219,Pos Kota,Cetak,,,PT,Jakarta,"Jl. Gajah Mada No. 98-100, Jakarta Barat 11140",
1220,Koran Sindo,Cetak,,,PT,Jakarta,"Gedung Sindo, Jl. KH Wahid Hasyim No.38 Kebon Sirih, Menteng, jakarta Pusat 10340",
1221,Super Ball,Cetak,,,PT,Jakarta,"Gd. Kompas Gramedia Unit I Lt. 2-3 Jl. Palmerah Barat No. 33-37, Jakarta 10270",superball@tribunnews.com
1222,SWA,Cetak,,,PT,Jakarta,Jl. Tanah Abang III  No. 23 Jakarta - 10160,swaredaksi@swamail.com
1223,Sindo Weekly,Cetak,,,PT,Jakarta,"Gedung High End Lt. 2, Jl. Kebon Sirih Kav. 17-19, Jakarta Pusat 10340",redaksi@sindoweekly.magz.com
1224,Suara Pembaruan,Cetak,,,PT,Jakarta,"Berita Satu Plaza, Lantai 11 Jl. Jend. Gatot Subroto Kav 35-36 Jakarta 12950",koransp@suarapembaruan.com
1225,The Jakarta Post,Cetak,,,PT,Jakarta,"Jl. Palmerah Barat No. 142-143, Gelora, Tanah Abang, Jakarta Pusat",editorial@thejakartapost.com
1226,Warta Kota,Cetak,,,PT,Jakarta,"Gedung Kompas Gramedia Unit I Lantai 2-3, Jl Palmerah Barat No 33-37, Jakarta 10270",redaksi_warkot@yahoo.com
1227,Femina,Cetak,,,PT,Jakarta,"Jl. HR Rasuna Said Kav.B32-33, Jakarta Selatan 12910 ",kontak@femina.co.id; redaksi@feminagroup.com
1228,Gatra,Cetak,,,PT,Jakarta,"Gedung Gatra
Jl. Kalibata Timur IV/15, Jakarta Selatan. 12740",redaksi@gatra.com
1229,Kontan,Cetak,,,PT,Jakarta,"Gedung Kontan Jl. Kebayoran Lama No. 1119, Jakarta 12210",red@kontan.co.id
1230,Wanita Indonesia,Cetak,,,PT,Jakarta,"Jl. Raya Pondok Gede No. 96, Jakarta 13810",redaksi@tabloidwanitaindonesia.co.id
1231,Neraca,Cetak,,,PT,Jakarta,"Jl. Penataran No. 5 Pegangsaan, Menteng Jakarta 10320 Jl. Teuku Cik Ditiro 68-B, Jakarta ",redaksineraca@yahoo.com | redaksi@neraca.co.id
1232,Tribun Jambi,Cetak,,,PT,Jambi,"Jl. Hayam Wuruk No. 38-40, Jelutung, Jambi 36143",redaksi@tribunjambi.com; tribunjambi@yahoo.com
1233,Jambi Ekspres,Cetak,,,PT,Jambi,"Jl. Kapten Patimura Km 8 No. 35, Kenali Besar, Jambi, 36129","redaksi@jambiekspres.co.id, jambiekspres@yahoo.com"
1234,Kabar Cirebon,Cetak,,,PT,Jawa Barat,"Jl. RA Kartini No. 7 Cirebon, 45123",redaksi_kabarcirebon@yahoo.co.id
1235,Kabar Priangan,Cetak,,,PT,Jawa Barat,"Jl. Re Martadinata No. 215 A Kec. Indihiang, Kota Tasikmalaya",redaksi@kabar-priangan.com ; skpriangan_id@yahoo.c
1236,Pikiran Rakyat,Cetak,,,PT,Jawa Barat,Jl. SoekarnoHattaNo. 147 Bandung - 40223,redaksi@pikiran-rakyat.com
1237,Radar Semarang,Cetak,,,PT,Jawa Tengah,"Jl.Veteran 55, Semarang 502315",editor@radarsemarang.com
1238,Suara Merdeka,Cetak,,,PT,Jawa Tengah,"Jl. Raya Kaligawe Km. 5, Semarang 50118",redaksi_sumer@suaramerdeka.com
1239,Tribun Jateng,Cetak,,,PT,Jawa Tengah,Jl. Menteri Supeno No. 30 Semarang 50241,redaksi@tribunjateng.com
1240,Solo Pos,Cetak,,,PT,Jawa Tengah,"Griya Solopos, Jl. Adi Sucipto No. 90, Solo 57145",redaksi@solopos.com
1241,Jawa Pos,Cetak,,,PT,Jawa Timur,"Graha Pena, Jl Ahmad Yani No.88, Surabaya 60231",editor@jawapos.co.id
1242,Suara Pemred,Cetak,,,PT,Kalimantan Barat,Jl. Sidas No. 19 Pontianak ,superkalbar@gmail.com 		
1243,Kun Dian Ri Bao,Cetak,,,PT,Kalimantan Barat,Graha Pena Jl. Gajah Mada No. 2-4 Pontianak 78124,kdrb@pontianakpost.com
1244,Rakyat Kalbar,Cetak,,,PT,Kalimantan Barat,"Ged. Graha Pena Kalbar Lt. 2&3, Jl. Arteri Supadio (Ayani 2) Km 3,5 Sungai Raya, Kalbar, 78391",
1245,Pontianak Post,Cetak,,,PT,Kalimantan Barat,Gedung Graha Pena Pontianak Post Jl. Gajah Mada No. 2-4 Pontianak 78121,redaksi@pontianakpost.com
1246,Tribun Pontianak,Cetak,,,PT,Kalimantan Barat,"Jl. Sungai Raya Dalam No.24 A, Pontianak 78391",tribunpontianak@yahoo.com
1247,Banjarmasin Post,Cetak,,,PT,Kalimantan Selatan,"Gedung Djok Mentaya, Jl. AS Musaffa No. 16 Banjarmasin 70111",redaksi@banjarmasinpost.co.id
1248,Metro Banjar,Cetak,,,PT,Kalimantan Selatan,"Gedung Djok Mentaya, Jl. AS Mustaffa No. 16, Banjarmasin 701111",redaksi@banjarmasinpost.co.id
1249,Radar Banjarmasin,Cetak,,,PT,Kalimantan Selatan,"Jl. A Yani km 26,9, Landasan Ulin, Banjarbaru 70724",redaksi@radarbanjarmasin.co.id
1250,Tabengan,Cetak,,,PT,Kalimantan Tengah," Jl. Imam Bonjol 19, Palangkaraya, Kalimantan Tengah  73118",hariantabengan@gmail.com
1251,Kalteng Pos,Cetak,,,PT,Kalimantan Tengah,"Jl. Tjilik Riwut km 2,5, Palangkaraya 73112",redaksi@kaltengpos.web.id
1252,Radar Sampit,Cetak,,,PT,Kalimantan Tengah,"Jl. MT. Haryono No. 88, Sampit",redaksi@radarsampit.com
1253,Tribun Kaltim,Cetak,,,PT,Kalimantan Timur,"Jl. Indrakilla Straat III Dalam RT. 52 No. 1 Kampung Timur, Balikpapan 76125",redaksi@tribunkaltim.co.id
1254,Kaltim Post,Cetak,,,PT,Kalimantan Timur,"Gedung Biru, Jl. Soekarno Hatta Km. 3,5 No. 64, Balikpapan 76126. ",redaksi@kaltimpos.net
1255,Tribun Batam,Cetak,,,PT,Kepulauan Riau,"Komplek MCP Jl. Kerapu Batu Ampar, Batam Kepulauan Riau",redaksi@tribunnewsbatam.com
1256,Haluan Kepri,Cetak,,,PT,Kepulauan Riau,"Jl. Yos Sudarso No.9, Batu Ampar, Batam",redaksi@haluankepri.com
1257,Radar Metro,Cetak,,,PT,Lampung,"Jl. Seminung No. 16 Yosorejo Metro Timur, Kota Metro 34111",radarmetronews@gmail.com
1258,Lampung Post,Cetak,,,PT,Lampung,Jl. Soekarno Hatta No. 108 Hajimena Natar Lampung Selatan 35152,redaksi@lampungpost.co.id
1259,Radar Lampung,Cetak,,,PT,Lampung,"Jl. Sultan Agung No.18 Kedaton, Bandar Lampung",redaksi@radarlampung.co.id
1260,Radar Tanggamus,Cetak,,,PT,Lampung,"Jl. Soekarno-Hatta No.09 Pekon Terbaya, Kec. Kota Agung  Kab.Tanggamus Lampung Selatan 35684 ",redaksi.radartanggamus@gmail.com
1261,Trans Lampung,Cetak,,,PT,Lampung,"Jl. Gatot Subroto No.16, Pahoman, Enggal, Bandar Lampung",translampung234@gmail.com
1262,Siwalima,Cetak,,,PT,Maluku,"Jl. Diponegoro No.20, Ambon. 97124 ",redaksi@siwalimanews.com
1263,Malut Post,Cetak,,,PT,Maluku Utara,"JL. MS Djahir RT 005 RW 002 Takoma, Kec. Ternate Tengah",editor@malutpost.com
1264,Bisnis Papua,Cetak,,,PT,Papua,Gedung Kadin Papua Lt. 1 Ruko Pasifik Permai Jayapura,bisnispapua@yahoo.com
1265,Cenderawasih Pos,Cetak,,,PT,Papua,"Jl. Balai Kota Entrop Jayapura, Kotak Pos 1377",redaksi@cenderawasihpos.com
1266,Radar Sorong,Cetak,,,PT,Papua Barat,"Jl. Selat Rumberpon No. 20 Remu Selatan, Sorong 98415",radarsorong@yahoo.com
1267,Radar Sulbar,Cetak,,,PT,Sulawesi Barat,"Jl. Jendral Sudirman No. 50, Mamuju, Sulawesi Barat",radarsulbar@telkom.net
1268,Sulbar Ekspres,Cetak,,,PT,Sulawesi Barat,"Jl. Jend. Sudirman No. 50 Mamuju, Sulawesi Barat",sulbarekspres@gmail.com
1269,Fajar,Cetak,,,PT,Sulawesi Selatan,"Gedung Graha Pena Lt. 5  Jl. Urip Sumoharjo No. 20, Makassar 90234","fajar@fajar.co.id, redaksi@fajar.co.id"
1270,Tribun Timur,Cetak,,,PT,Sulawesi Selatan,"Jl. Cendrawasih 430, Makasar, 90134",tribuntimur@yahoo.com
1271,Radar Sulteng,Cetak,,,PT,Sulawesi Tengah,"Gedung Graha Pena, Jl. Yos Sudarso No.9, Palu",radarsulteng@yahoo.com
1272,Radar Manado,Cetak,,,PT,Sulawesi Utara,"Gedung Graha Pena Manado Post Lt. 3 
Jl. Babepalar No.62 Wanea, Manado",radarmanado@gmail.com
1273,Posko Manado,Cetak,,,PT,Sulawesi Utara,"Gedung Graha Pena Lt. 3 	
Jl. Babe Palar No. 62, Kel. Wanea Manado ",redaksi.posko@gmail.com
1274,Binews,Cetak,,,PT,Sumatera Barat,"Jl. Delima No. 27 Ujung Gurun, Padang, 25174",binnews_pdg@yahoo.co.id
1275,Tribun Sumsel,Cetak,,,PT,Sumatera Selatan,"Graha Tribun Jl. Alamsyah Ratu Prawira Negara No.120 RT.052 RW.016 Ilir Barat I, Palembang 30139",tribunsumsel@yahoo.com
1276,Palembang Pos,Cetak,,,PT,Sumatera Selatan,"Jl. Kolonel H Barlian No.733 Km 6.5, Palembang, 30152",redaksipalpos@gmail.com
1277,Sriwijaya Post,Cetak,,,PT,Sumatera Selatan,"Jl. Alamsyah Ratuprawiranegara No. 120, Kel Bukit Lama Kec. Ilir Barat 1, Palembang",sriwijayapost@yahoo.com
1278,Radar Palembang,Cetak,,,PT,Sumatera Selatan,"Jl. Basuki Rahmat No.12 B-C Simpang Polda, Palembang ",rdr_plg@yahoo.com
1279,Sumatera Ekspres,Cetak,,,PT,Sumatera Selatan,"Gedung Graha Pena Palembang, Jl. Kol. H. Burhan No.773, Palembang",redaksi_harian@sumeks.co.id
1280,Jurnal Sumatra,Cetak,,,PT,Sumatera Selatan,"Perumahan Griya Mutiara Baru Blok B No. 3 RT. 33 RW. 09, Kel. Sukamaju, Kec. Sako, Palembang",jurnalsumatra@yahoo.co.id; redaksi@jurnalsumatra.c
1281,Palembang Ekspres,Cetak,,,PT,Sumatera Selatan,"Gedung Graha Pena Palembang, Jl. Kol H Barlian No. 773, Palembang, 30152",plg.ekspres@gmail.com
1282,News Hunter,Cetak,,,PT,Sumatera Selatan,"Jl. Sapta Marga Komp. Cita Dama II Blok M No. 5 RT. 43, RW. 09 Palembang",news_hunter77@yahoo.com
1283,Sniper,Cetak,,,PT,Sumatera Selatan,"Jl. Jenderal A. Yani 940 ULU RT 2 No.36, Palembang",sniperdps@gmail.com;helmiahz@gmail.com
1284,Tribun Medan,Cetak,,,PT,Sumatera Utara,"Jl. KH Wahid Hasyim No.37 Kel. Babura, Kec. Medan Baru, Medan, 20119",tribunmedan@yahoo.com; redaksi@tribun-medan.com
1285,Koran Merapi Pembaruan,Cetak,,,PT,Daerah Istimewa Jogjakarta,Jl. Margo Utomo (d/h. P. Mangkubumi) 40-42 Yogyakarta 55232,koranmerapi_jogja@yahoo.com | koranmerapi@gmail.co
1286,Harian Jogja,Cetak,,,PT,Daerah Istimewa Jogjakarta,"Jl. AM. Sangaji No. 41, Yogyakarta 55233",redaksi@harianjogja.com
1287,Kedaulatan Rakyat,Cetak,,,PT,Daerah Istimewa Jogjakarta,Jl. Margo Utomo (P. Mangkubumi) 40-46 Yogyakarta 55232,redaksi@kr.co.id; naskahkr@gmail.com
1288,Radar Jogja,Cetak,,,PT,Daerah Istimewa Jogjakarta,Jl. Ring Road Utara (Lingkar Utara) No.88 (sebelah Barat Polda DIY) Yogyakarta 55283,radarjogja@gmail.com
1289,Minggu Pagi,Cetak,,,PT,Daerah Istimewa Jogjakarta,"Jl. Margo Utomo Mangkubumi 40-46 Yogyakarta, 55232",minggupagi.kr@gmail.com 
1290,Kaltara Post,Cetak,,,PT,,"Jl.Patimura No.47,Tarakan 77121",mediakaltarapost@gmail.com
1291,Teras,Cetak,,,PT,Banten,"Jl. Jend. Sudirman No. 25 Serang, Banten",majalahteras_redaksi@yahoo.co.id
1292,Esa TV Bengkulu,Televisi,,,PT,Bengkulu,"Jl. S. Parman no.39 Rt. 02/01, Kel. Patah, Kec. Patah",
1293,Metro TV Bengkulu,Televisi,,,PT,Bengkulu,"Jl. Raya Bentiring Simpang 4 Tugu Hiu, Kel. Bentiring, Kec. Muara Bangka Hulu",
1294,BUMN Track,Cetak,,,PT,Jakarta,"Ged. Sarinah Lt. 13, Jl. MH Thamrin No. 11, Jakarta Pusat, 10350",
1295,Cek & Ricek,Cetak,,,PT,Jakarta,"Jl. H. Saaba No. 40, Meruya Selatan, Jakbar",tabloid_ceer@plasa.com  
1296,Info Kebayoran,Cetak,,,PT,Jakarta,"Jl. Raya Serpong, Ruko Sutera Niaga III, Blok D, No. 10, Serpong, Tangerang Selatan",redaksi_infokebayoran@yahoo.com
1297,bisnis.com,Siber,,,PT,Jakarta,"Jl. K.H Mas Mansyur No. 12A, Wisma Bukit Indonesia Lt.5-8, Jakarta",
1298,Bola.com,Siber,,,PT,Jakarta,"Jl. SCTV Tower 14th floor, Jln. Asia Afrika Lot 19 Jakarta ",redaksi@bola.com 
1299,detik.com,Siber,,,PT,Jakarta,"Gedung Transmedia Lt. 9 Jl. Kapt. Piere Tendean Kav. 12-14A Mampang Prapatan, Jakarta",redaksi@detik.com
1300,gatra.com,Siber,,,PT,Jakarta,"Gedung Gatra Jl. Kalibata Timur IV/15, Jakarta Selatan. 12740",langganan@gatra.com
1301,jpnn.com,Siber,,,PT,Jakarta,"Gedung Graha Pena Lt.11, Jl. Raya Kebayoran Lama No.12, Jakarta Selatan",jpnn@jpnn.com
1302,liputan6.com,Siber,,,PT,Jakarta,"Senayan City Office: SCTV Tower Lantai 14, 
Jl. Asia Afrika Lot 19 Senayan City Jakarta",redaksi@liputan6.com
1303,metrotvnews.com,Siber,,,PT,Jakarta,"Jl Pilar Mas Raya Kav. A-D, Kedoya -
Kebon Jeruk Jakarta",redaksi@metrotvnews.com 
1304,tempo.co,Siber,,,PT,Jakarta,"Jl. Palmerah Barat No.8 Kel. Grogol Utara, Kec. Kebayoran Lama, Jaksel",red@tempo.co.id
1305,Metrojambi.com,Siber,,,PT,Jambi,Jl. A. Thalib No. 7-8 RT. 05 Pematang Sulur,beritadigital@yahoo.com
1306,Jambi TV,Televisi,,,PT,Jambi,"Jl. Jendral Sudirman No. 100, Tambaksari, Jambi Selatan",
1307,Jambi Ekspres TV,Televisi,,,PT,Jambi,"Jl. Kapt Pattimura, Kenali Besar, Kota Besar",
1308,BTV,Televisi,,,PT,Jambi,"Jl. Raya Kapten Pattimura Km.8, Kel. Simpang IV Sipin, Kec. Telanaipura",
1309,tvOne Jambi,Televisi,,,PT,Jambi,"Jl. Raya Lintas Jambi Muara Bulian Blok I/39 RT 50/RW 09, Perumahan, Desa Mendalo Darat, Kec. Jambi Luar Kota",
1310,Metro TV Jambi,Televisi,,,PT,Jambi,,
1311,Indosiar Jambi,Televisi,,,PT,Jambi,,
1312,Trans TV Jambi,Televisi,,,PT,Jambi,"Jl. Patimura Lr. Yeyes RT. 04/02, Desa Kenali Besar, Kec. Kota Baru, Kab. Jambi, Prov. Jambi",
